employeeCode,employeeName,employeePhone,employeeLevel,accessTime,log
0202,WJK,111-1111-1111,Mate,2020.10.06 09:43:19,1
1111,KJW,000-0000-0000,Manager,2020.10.06 12:56:49,1
1111,KJW,000-0000-0000,Manager,2020.10.06 13:11:30,1
1111,KJW,000-0000-0000,Manager,2020.10.06 13:12:54,1
1111,KJW,000-0000-0000,Manager,2020.10.06 13:13:38,1
1111,KJW,000-0000-0000,Manager,2020.10.06 13:14:49,1
1111,KJW,000-0000-0000,Manager,2020.10.06 13:15:22,1
1111,KJW,000-0000-0000,Manager,2020.10.06 13:15:51,1
1111,KJW,000-0000-0000,Manager,2020.10.06 13:17:07,1
1111,KJW,000-0000-0000,Manager,2020.10.06 13:18:19,1
1111,KJW,000-0000-0000,Manager,2020.10.06 13:21:25,1
1111,KJW,000-0000-0000,Manager,2020.10.06 13:24:51,1
1111,KJW,000-0000-0000,Manager,2020.10.06 14:09:44,1
1111,KJW,000-0000-0000,Manager,2020.10.06 15:06:39,1
1111,KJW,000-0000-0000,Manager,2020.10.06 15:24:03,1
1111,KJW,000-0000-0000,Manager,2020.10.06 15:26:52,1
1111,KJW,000-0000-0000,Manager,2020.10.06 15:27:46,1
1111,KJW,000-0000-0000,Manager,2020.10.06 15:31:14,1
1111,KJW,000-0000-0000,Manager,2020.10.06 15:32:09,1
1111,KJW,000-0000-0000,Manager,2020.10.06 15:39:43,1
1111,KJW,000-0000-0000,Manager,2020.10.06 16:19:32,1
1111,KJW,000-0000-0000,Manager,2020.10.06 16:39:18,1
1111,KJW,000-0000-0000,Manager,2020.10.06 16:40:02,1
1111,KJW,000-0000-0000,Manager,2020.10.06 16:42:38,1
1111,KJW,000-0000-0000,Manager,2020.10.06 16:43:04,1
1111,KJW,000-0000-0000,Manager,2020.10.06 16:45:43,1
1111,KJW,000-0000-0000,Manager,2020.10.06 17:07:24,1
1111,KJW,000-0000-0000,Manager,2020.10.06 17:07:49,1
1111,KJW,000-0000-0000,Manager,2020.10.06 17:08:12,1
1111,KJW,000-0000-0000,Manager,2020.10.06 17:12:06,1
1111,KJW,000-0000-0000,Manager,2020.10.06 17:13:50,1
1111,KJW,000-0000-0000,Manager,2020.10.06 17:15:35,1
1111,KJW,000-0000-0000,Manager,2020.10.06 17:16:14,1
1111,KJW,000-0000-0000,Manager,2020.10.06 17:16:44,1
1111,KJW,000-0000-0000,Manager,2020.10.06 17:19:49,1
1111,KJW,000-0000-0000,Manager,2020.10.06 17:20:28,1
1111,KJW,000-0000-0000,Manager,2020.10.06 17:20:56,1
1111,KJW,000-0000-0000,Manager,2020.10.06 17:41:57,1
1111,KJW,000-0000-0000,Manager,2020.10.06 19:22:15,1
1111,KJW,000-0000-0000,Manager,2020.10.06 19:23:29,1
1111,KJW,000-0000-0000,Manager,2020.10.06 19:24:55,1
1111,KJW,000-0000-0000,Manager,2020.10.06 19:27:38,1
1111,KJW,000-0000-0000,Manager,2020.10.06 19:37:09,1
1111,KJW,000-0000-0000,Manager,2020.10.06 19:39:17,1
1111,KJW,000-0000-0000,Manager,2020.10.06 19:42:07,1
1111,KJW,000-0000-0000,Manager,2020.10.06 19:44:41,1
1111,KJW,000-0000-0000,Manager,2020.10.06 19:47:30,1
1111,KJW,000-0000-0000,Manager,2020.10.06 19:51:30,1
1111,KJW,000-0000-0000,Manager,2020.10.06 19:54:14,1
1111,KJW,000-0000-0000,Manager,2020.10.06 20:00:29,1
1111,KJW,000-0000-0000,Manager,2020.10.06 20:03:00,1
1111,KJW,000-0000-0000,Manager,2020.10.06 20:03:09,1
1111,KJW,000-0000-0000,Manager,2020.10.06 20:08:34,1
1111,KJW,000-0000-0000,Manager,2020.10.07 08:25:31,1
1111,KJW,000-0000-0000,Manager,2020.10.07 08:27:01,1
1111,KJW,000-0000-0000,Manager,2020.10.07 08:38:54,1
1111,KJW,000-0000-0000,Manager,2020.10.07 08:40:25,1
0202,WJK,111-1111-1111,Mate,2020.10.07 08:41:36,1
1111,KJW,000-0000-0000,Manager,2020.10.07 09:01:20,1
1111,KJW,000-0000-0000,Manager,2020.10.07 09:03:54,1
1111,KJW,000-0000-0000,Manager,2020.10.07 09:13:14,1
1111,KJW,000-0000-0000,Manager,2020.10.07 09:15:23,1
1111,KJW,000-0000-0000,Manager,2020.10.07 09:18:58,1
1111,KJW,000-0000-0000,Manager,2020.10.07 09:19:29,1
1111,KJW,000-0000-0000,Manager,2020.10.07 09:20:02,1
1111,KJW,000-0000-0000,Manager,2020.10.07 09:22:22,1
1111,KJW,000-0000-0000,Manager,2020.10.07 09:24:00,1
1111,KJW,000-0000-0000,Manager,2020.10.07 09:25:01,1
1111,KJW,000-0000-0000,Manager,2020.10.07 09:26:08,1
1111,KJW,000-0000-0000,Manager,2020.10.07 09:28:17,1
1111,KJW,000-0000-0000,Manager,2020.10.07 09:29:13,1
1111,KJW,000-0000-0000,Manager,2020.10.07 09:31:12,1
1111,KJW,000-0000-0000,Manager,2020.10.07 09:37:45,1
1111,KJW,000-0000-0000,Manager,2020.10.07 09:38:15,1
1111,KJW,000-0000-0000,Manager,2020.10.07 09:48:38,1
1111,KJW,000-0000-0000,Manager,2020.10.07 10:15:34,1
1111,KJW,000-0000-0000,Manager,2020.10.07 10:16:49,1
1111,KJW,000-0000-0000,Manager,2020.10.07 16:30:54,1
1111,KJW,000-0000-0000,Manager,2020.10.07 17:11:40,1
1111,KJW,000-0000-0000,Manager,2020.10.07 17:20:19,1
1111,KJW,000-0000-0000,Manager,2020.10.07 17:27:13,1
1111,KJW,000-0000-0000,Manager,2020.10.07 17:28:52,1
1111,KJW,000-0000-0000,Manager,2020.10.07 17:29:27,1
1111,KJW,000-0000-0000,Manager,2020.10.07 17:32:51,1
1111,KJW,000-0000-0000,Manager,2020.10.07 17:34:49,1
1111,KJW,000-0000-0000,Manager,2020.10.07 17:35:18,1
1111,KJW,000-0000-0000,Manager,2020.10.07 17:39:08,1
1111,KJW,000-0000-0000,Manager,2020.10.07 17:40:14,1
